Date,Confirmed,Predicted_Confirmed,Recovered,Predicted_Recovered,Decreased,Predicted_Decreased
2020-06-12,164,252.32820459119603,285,137.3562271186415,9,9.982729189556144
2020-06-13,253,243.72155063042183,74,123.89077399042601,8,12.628342239185155
2020-06-14,237,228.99501340848443,25,142.17037364442336,3,8.52990873296582
2020-06-15,219,304.3579244165516,389,150.87005973244717,2,9.67898383372406
2020-06-16,213,288.46985547509416,261,171.26901787399038,4,12.964852351256845
2020-06-17,269,269.41366555125944,44,220.53477562582282,1,9.404271579282671
2020-06-18,352,343.9782713677437,230,203.31280521622756,3,10.410450287878984
2020-06-19,499,343.98624901760763,51,232.56786078450168,3,13.092511470588413
2020-06-20,546,343.06558035412473,154,293.84694020756666,5,10.960464002659467
2020-06-21,730,413.1570170049001,225,283.804088942064,7,12.120110057545276
2020-06-22,872,405.48657273575606,274,296.4752844490982,7,15.382458189411345
2020-06-23,879,394.1237450005257,219,341.90352029954283,3,11.404033260804907
2020-06-24,891,475.721875345577,137,338.38912602648765,5,12.577385081604621
2020-06-25,920,469.80660636387,327,367.6468536479307,5,15.783044946344551
2020-06-26,985,461.6229151033819,78,430.1405251158677,7,12.783066295725913
2020-06-27,1087,543.8624977721322,162,420.86430426379286,6,13.985810380425256
2020-06-28,983,541.7951737366275,244,446.99908309993964,4,17.251709240509953
2020-06-29,975,537.5861064316667,410,508.0303349773304,6,13.864351765265289
2020-06-30,945,622.8145549418255,1712,504.59226540652253,7,15.142865780454
2020-07-01,1018,619.4052790323667,788,532.5246100930187,7,18.62654380924466
2020-07-02,1213,613.3427583987849,987,596.0444110454843,8,14.985470209705767
2020-07-03,1892,704.1750382233844,1126,593.0388106476163,8,16.289173714830326
2020-07-04,1850,702.8151382048222,1342,626.3440570504029,5,19.787801034550995
2020-07-05,1590,699.3003352783611,1166,696.3368856149084,7,16.34552392174998
2020-07-06,1831,792.9328227689947,2078,694.2837417611379,11,17.705427930302093
